Liam Spencer BOY  1 2.83
Mckenzie Lees GIRL  787 1.99
Callie Bonner GIRL  788 3.76
Payton Dunne GIRL  789 1.93
Eloise Palacios GIRL  790 0.46
Brooke Knott GIRL  791 2.9
Londyn Howell GIRL  792 3.27
Mariah Holder GIRL  793 2.34
Julianna Barton GIRL  794 0.45
Rachel Bradshaw GIRL  795 2.88
Daniela Stubbs GIRL  796 1.78
Gracie Cummings GIRL  797 3.23
Catherine Elliott GIRL  798 2.8
Angelina Maguire GIRL  799 2.81
Presley Petty GIRL  800 2.02
Josie Moon GIRL  801 0.54
Harley Roche GIRL  802 0.04
Adelyn Dougherty GIRL  803 0.7
Vanessa Christensen GIRL  804 1.42
Makayla Blair GIRL  805 1.48
Parker Stark GIRL  806 3.74
Juliette Meadows GIRL  807 1.59
Amara Williamson GIRL  808 0.9
Marley Rayner GIRL  809 1.51
Lila Gordon GIRL  810 1.16
Ana Hough GIRL  811 2.68
Rowan Rahman GIRL  812 2.83
Alana Carpenter GIRL  813 3.08
Michelle Weber GIRL  814 1.81
Malia Vega GIRL  815 1.21
Rebecca Morton GIRL  816 0.41
Brooklynn Ritter GIRL  817 2.49
Brynlee Johns GIRL  818 3.96
Summer Owen GIRL  819 2.51
Sloane Christian GIRL  820 2.55
Leila Herbert GIRL  821 2.95
Sienna Griffith GIRL  822 1.58
Adriana Whitney GIRL  823 1.06
Sawyer Golden GIRL  824 2.39
Kendall Fulton GIRL  825 3.09
Juliet Allison GIRL  826 2.98
Destiny Vincent GIRL  827 3.1
Alayna Barrett GIRL  828 3.52
Elliana Knott GIRL  829 0.6
Diana Lin GIRL  830 2.75
Hayden Day GIRL  831 1.0
Ayla Thomson GIRL  832 2.3
Dakota Powell GIRL  833 3.8
Angela Conley GIRL  834 3.72
Noelle Myers GIRL  835 3.97
Rosalie Harrison GIRL  836 3.15
Joanna Grant GIRL  837 0.69
Jayla Hensley GIRL  838 0.17
Alivia Daugherty GIRL  839 1.12
Lola Henderson GIRL  840 3.8
Emersyn O'Doherty GIRL  841 2.43
Georgia Mccabe GIRL  842 0.99
Selena Esparza GIRL  843 1.72
June Andersen GIRL  844 2.52
Daleyza Houston GIRL  845 1.16
Tessa Pearce GIRL  846 2.31
Maggie Winter GIRL  847 3.34
Jessica Philip GIRL  848 3.7
Remi Leech GIRL  849 3.82
Delaney Wheatley GIRL  850 2.63
Camille Lugo GIRL  851 1.27
Vivienne Rees GIRL  852 1.21
Hope Casey GIRL  853 0.65
Mckenna Cervantes GIRL  854 0.69
Gemma Wallace GIRL  855 1.03
Olive Hernandez GIRL  856 3.91
Alexandria Bloom GIRL  857 3.24
Blakely Simmonds GIRL  858 0.06
Izabella Hartley GIRL  859 0.61
Catalina Rodgers GIRL  860 2.75
Raegan Hunt GIRL  861 2.18
Journee Searle GIRL  862 3.88
Gabrielle Weir GIRL  863 3.72
Lucille Blair GIRL  864 0.08
Ruth Donald GIRL  865 0.8
Amiyah Thorne GIRL  866 3.27
Evangeline Metcalfe GIRL  867 0.52
Blake Vincent GIRL  868 1.24
Thea Watkins GIRL  869 2.94
Amina Moran GIRL  870 2.38
Giselle Hogan GIRL  871 1.06
Lilah Baker GIRL  872 1.9
Melissa Wiley GIRL  873 1.39
River Warner GIRL  874 3.58
Kate Olson GIRL  875 0.11
Adelaide Anthony GIRL  876 0.2
Charlee Pate GIRL  877 1.22
Vera Dillard GIRL  878 0.13
Leia Jacobson GIRL  879 3.26
Gabriela Simmonds GIRL  880 0.6
Zara Nelson GIRL  881 3.45
Jane Brooks GIRL  882 3.98
Journey Oneil GIRL  883 3.61
Elaina Farrell GIRL  884 3.97
Miriam Bostock GIRL  885 0.07
Briella Ramos GIRL  886 0.99
Stephanie Downes GIRL  887 3.97
Cali Gay GIRL  888 0.61
Ember Yang GIRL  889 0.92
Lilliana Wells GIRL  890 2.12
Aniyah Hibbert GIRL  891 1.21
Logan Petersen GIRL  892 2.98
Kamila Plummer GIRL  893 0.96
Brynn Henry GIRL  894 3.84
Ariella Hale GIRL  895 0.98
Makenzie Murray GIRL  896 0.97
Annie Snider GIRL  897 3.93
Mariana Peck GIRL  898 0.11
Kali Cook GIRL  899 3.53
Haven Tucker GIRL  900 3.11
Elsie Sharples GIRL  901 1.0
Nyla Wall GIRL  902 0.65
Paris Glover GIRL  903 2.59
Lena Shah GIRL  904 1.44
Freya Huber GIRL  905 0.37
Adelynn Hoover GIRL  906 3.86
Lyric Peralta GIRL  907 2.35
Camilla Bonilla GIRL  908 2.4
Sage Proctor GIRL  909 0.84
Jennifer Schaefer GIRL  910 1.25
Paislee Foley GIRL  911 1.1
Talia Whitehead GIRL  912 0.89
Alessandra Mcculloch GIRL  913 2.01
Juniper Adkins GIRL  914 0.27
Fatima Wilder GIRL  915 3.24
Raelyn Fritz GIRL  916 3.37
Amira Molloy GIRL  917 2.97
Arielle Roy GIRL  918 1.1
Phoebe Worthington GIRL  919 3.31
Kinley Millar GIRL  920 0.91
Ada Bradley GIRL  921 3.31
Nina Strickland GIRL  922 1.07
Ariah Burke GIRL  923 0.82
Samara Choi GIRL  924 2.29
Myla Newton GIRL  925 1.51
Brinley Madden GIRL  926 1.72
Cassidy Delacruz GIRL  927 1.31
Maci Little GIRL  928 0.23
Aspen Esquivel GIRL  929 2.49
Allie Guzman GIRL  930 3.42
Keira North GIRL  931 0.06
Kaia Palacios GIRL  932 1.52
Makenna Montgomery GIRL  933 1.09
Amanda Pham GIRL  934 2.29
Heaven Cantu GIRL  935 3.68
Joy Hodgson GIRL  936 2.88
Lia Bevan GIRL  937 3.19
Madilyn Donald GIRL  938 2.35
Gracelyn Kramer GIRL  939 0.63
Laura Cherry GIRL  940 0.39
Evelynn Hodgson GIRL  941 0.06
Lexi Herrera GIRL  942 1.81
Haley Plummer GIRL  943 0.16
Miranda Rhodes GIRL  944 3.75
Kaitlyn Peck GIRL  945 3.99
Daniella Stott GIRL  946 2.84
Felicity Baker GIRL  947 1.52
Jacqueline Gould GIRL  948 0.65
Evie Valenzuela GIRL  949 1.63
Angel Sargent GIRL  950 0.47
Danielle Wyatt GIRL  951 2.02
Ainsley Lim GIRL  952 0.36
Dylan Branch GIRL  953 0.46
Kiara Coles GIRL  954 0.84
Millie Valenzuela GIRL  955 0.92
Jordan Holcomb GIRL  956 3.94
Maddison Wicks GIRL  957 1.99
Rylie Smyth GIRL  958 1.73
Alicia Dejesus GIRL  959 1.31
Maeve Brookes GIRL  960 0.54
Margot Coleman GIRL  961 0.84
Kylee Povey GIRL  962 3.0
Phoenix Underwood GIRL  963 2.79
Heidi Silva GIRL  964 3.52
Zuri Farmer GIRL  965 1.21
Alondra Hendrix GIRL  966 1.54
Lana Macdonald GIRL  967 0.95
Madeleine Lang GIRL  968 0.96
Gracelynn Coles GIRL  969 1.91
Kenzie Orozco GIRL  970 0.29
Miracle Griffith GIRL  971 2.85
Shelby Cleveland GIRL  972 1.35
Elle Velasquez GIRL  973 3.94
Adrianna Day GIRL  974 0.25
Bianca Doyle GIRL  975 0.98
Addilyn Robson GIRL  976 0.03
Kira Ball GIRL  977 0.4
Veronica Hickman GIRL  978 3.38
Gwendolyn Jarvis GIRL  979 3.61
Esmeralda Dean GIRL  980 3.1
Chelsea Prentice GIRL  981 1.61
Alison Yoder GIRL  982 1.87
Skyler Snider GIRL  983 3.06
Magnolia Jackson GIRL  984 2.1
Daphne Currie GIRL  985 0.3
Jenna Lucero GIRL  986 0.99
Everleigh Tanner GIRL  987 1.05
Kyla Barry GIRL  988 0.04
Braelynn Grant GIRL  989 1.21
Harlow Haney GIRL  990 1.9
Annalise Lutz GIRL  991 0.26
Mikayla Flower GIRL  992 2.71
Dahlia Simons GIRL  993 1.53
Maliyah Lennon GIRL  994 3.05
Averie Arellano GIRL  995 2.7
Scarlet Sharp GIRL  996 0.25
Kayleigh Wagstaff GIRL  997 2.43
Luciana Stout GIRL  998 2.53
Kelsey Wardle GIRL  999 0.49
Nadia Kirkland GIRL  1000 1.64
Amber Holt GIRL  1001 0.27
Gia Prentice GIRL  1002 3.69
Kamryn Cleveland GIRL  1003 1.56
Yaretzi Kim GIRL  1004 0.44
Carmen Cortez GIRL  1005 2.05
Jimena Petty GIRL  1006 2.6
Erin Firth GIRL  1007 0.48
Christina Carty GIRL  1008 3.46
Katie Higgins GIRL  1009 0.41
Ryan Forrest GIRL  1010 0.28
Viviana Walls GIRL  1011 3.75
Alexia Chambers GIRL  1012 2.47
Anaya Colon GIRL  1013 1.54
Serena Estrada GIRL  1014 2.81
Katelyn Petersen GIRL  1015 0.62
Ophelia Davenport GIRL  1016 2.41
Regina Pennington GIRL  1017 0.49
Helen Owen GIRL  1018 1.26
Remington Barrett GIRL  1019 0.28
Camryn Laing GIRL  1020 0.1
Cadence Flynn GIRL  1021 2.67
Royalty Miles GIRL  1022 3.74
Amari Whitney GIRL  1023 3.69
Kathryn Pham GIRL  1024 1.48
Skye Blair GIRL  1025 1.53
Emely Gross GIRL  1026 0.96
Jada Duke GIRL  1027 2.84
Ariyah Rennie GIRL  1028 1.9
Aylin Barnes GIRL  1029 1.16
Saylor Bradley GIRL  1030 3.24
Kendra Britton GIRL  1031 1.71
Cheyenne Andersen GIRL  1032 0.15
Fernanda Galloway GIRL  1033 2.09
Sabrina Mcguire GIRL  1034 0.39
Francesca Parker GIRL  1035 3.95
Eve Yang GIRL  1036 1.95
Mckinley Kirby GIRL  1037 1.06
Frances Sierra GIRL  1038 0.57
Sarai Connolly GIRL  1039 4.0
Carolina Wood GIRL  1040 2.94
Kennedi Travis GIRL  1041 0.03
Nylah Bloggs GIRL  1042 1.93
Tatum Wills GIRL  1043 3.46
Alani Fritz GIRL  1044 2.33
Lennon Flores GIRL  1045 1.92
Raven Austin GIRL  1046 3.95
Zariah Bender GIRL  1047 0.56
Leslie Guy GIRL  1048 1.23
Winter Robson GIRL  1049 1.34
Abby Calhoun GIRL  1050 3.09
Mabel Ashley GIRL  1051 3.66
Sierra Howard GIRL  1052 0.73
April Gunn GIRL  1053 3.57
Willa Bartlett GIRL  1054 2.99
Carly Sierra GIRL  1055 0.04
Jolene Blair GIRL  1056 2.23
Rosemary Atkins GIRL  1057 1.3
Aviana Goodman GIRL  1058 3.2
Madelynn Wolfe GIRL  1059 1.0
Selah Holcomb GIRL  1060 1.52
Renata Simmonds GIRL  1061 2.44
Lorelei Suarez GIRL  1062 0.42
Briana Buxton GIRL  1063 2.23
Celeste Bradley GIRL  1064 3.96
Wren Shah GIRL  1065 0.64
Charleigh Tran GIRL  1066 2.13
Leighton Shepard GIRL  1067 2.81
Annabella Guevara GIRL  1068 1.48
Jayleen Broughton GIRL  1069 2.22
Braelyn Petty GIRL  1070 2.8
Ashlyn Daniel GIRL  1071 2.43
Jazlyn Cullen GIRL  1072 3.81
Mira Gaines GIRL  1073 3.77
Oakley Paul GIRL  1074 3.06
Malaysia Thatcher GIRL  1075 2.76
Edith Melendez GIRL  1076 2.46
Avianna Barton GIRL  1077 2.89
Maryam Boyce GIRL  1078 2.61
Emmalyn Spooner GIRL  1079 1.71
Hattie Conley GIRL  1080 1.58
Kensley Bains GIRL  1081 3.72
Macie Wong GIRL  1082 0.29
Bristol Long GIRL  1083 1.7
Marlee Regan GIRL  1084 0.26
Demi Alfaro GIRL  1085 0.85
Cataleya Tran GIRL  1086 1.25
Maia Cooper GIRL  1087 2.21
Sylvia Spooner GIRL  1088 2.78
Itzel Hunt GIRL  1089 3.04
Allyson Hensley GIRL  1090 2.08
Lilith Farrow GIRL  1091 1.49
Melany Mccall GIRL  1092 3.95
Kaydence Schwartz GIRL  1093 2.2
Holly York GIRL  1094 3.53
Nayeli Macdonald GIRL  1095 3.68
Meredith Peralta GIRL  1096 0.82
Nia Patterson GIRL  1097 1.13
Liana Cantu GIRL  1098 3.62
Megan Manning GIRL  1099 0.51
Justice Delacruz GIRL  1100 0.97
Bethany Weber GIRL  1101 3.94
Alejandra Ball GIRL  1102 3.05
Janelle Alford GIRL  1103 2.33
Elisa Mays GIRL  1104 2.04
Adelina Brennan GIRL  1105 3.27
Ashlynn Ferguson GIRL  1106 2.02
Elianna Hale GIRL  1107 0.41
Aleah Whitney GIRL  1108 0.2
Myra Wyatt GIRL  1109 3.04
Lainey John GIRL  1110 3.14
Blair Bassett GIRL  1111 2.21
Kassidy Romero GIRL  1112 2.16
Charley Hall GIRL  1113 3.99
Virginia Abbott GIRL  1114 2.49
Kara Bartlett GIRL  1115 2.87
Helena Adamson GIRL  1116 2.32
Sasha Wiggins GIRL  1117 2.26
Julie Solomon GIRL  1118 2.71
Michaela Mcdowell GIRL  1119 2.16
Carter Steadman GIRL  1120 0.1
Matilda Truong GIRL  1121 1.79
Kehlani Whittle GIRL  1122 1.58
Henley Rocha GIRL  1123 3.82
Maisie Brady GIRL  1124 3.66
Hallie Glenn GIRL  1125 2.61
Jazmin Wyatt GIRL  1126 1.68
Priscilla Hodges GIRL  1127 2.56
Marilyn Herrera GIRL  1128 3.73
Cecelia Patrick GIRL  1129 0.03
Danna Fuller GIRL  1130 2.59
Colette Correa GIRL  1131 1.96
Baylee Melton GIRL  1132 0.92
Elliott Oneal GIRL  1133 1.29
Ivanna Watson GIRL  1134 1.36
Cameron Valencia GIRL  1135 0.98
Celine Spencer GIRL  1136 3.54
Alayah Mcdonnell GIRL  1137 1.01
Hanna Peck GIRL  1138 3.12
Imani Wainwright GIRL  1139 3.11
Angelica Travers GIRL  1140 0.88
Emelia Stokes GIRL  1141 3.15
Kalani Pike GIRL  1142 0.4
Alanna Bevan GIRL  1143 2.9
Lorelai Bonilla GIRL  1144 2.8
Macy Barton GIRL  1145 1.88
Karina Delacruz GIRL  1146 3.79
Addyson Combs GIRL  1147 3.05
Aleena Dotson GIRL  1148 0.53
Aisha Bloggs GIRL  1149 2.35
Johanna Harding GIRL  1150 3.83
Mallory Burns GIRL  1151 2.53
Leona Bean GIRL  1152 2.09
Mariam Vaughan GIRL  1153 1.61
Kynlee Anderson GIRL  1154 0.18
Madilynn Fisher GIRL  1155 0.43
Karen Parra GIRL  1156 3.66
Karla Fry GIRL  1157 0.28
Skyla Leech GIRL  1158 3.6
Beatrice Ware GIRL  1159 2.11
Dayana Austin GIRL  1160 0.97
Gloria Whitehead GIRL  1161 1.57
Milani Talbot GIRL  1162 0.9
Savanna Yang GIRL  1163 0.62
Karsyn Olson GIRL  1164 1.46
Rory Dickerson GIRL  1165 2.56
Giuliana Davies GIRL  1166 2.27
Lauryn Bartlett GIRL  1167 2.51
Liberty Love GIRL  1168 0.4
Galilea Hurst GIRL  1169 2.93
Aubrie Alfaro GIRL  1170 3.95
Charli Frame GIRL  1171 3.74
Kyleigh Major GIRL  1172 1.17
Brylee Bradshaw GIRL  1173 3.02
Jillian Snider GIRL  1174 0.2
Anne Thatcher GIRL  1175 3.6
Haylee Yu GIRL  1176 2.96
Dallas Anthony GIRL  1177 1.42
Azalea Moreno GIRL  1178 0.3
Jayda Leal GIRL  1179 3.98
Tiffany Hunter GIRL  1180 0.09
Avah Love GIRL  1181 3.53
Shiloh Palacios GIRL  1182 0.02
Bailee Salazar GIRL  1183 1.21
Jazmine Broadhurst GIRL  1184 0.35
Esme Montgomery GIRL  1185 0.73
Coraline Kaur GIRL  1186 2.64
Madisyn Whittle GIRL  1187 3.45
Elaine Kelley GIRL  1188 3.36
Lilian Fulton GIRL  1189 3.63
Kyra Ireland GIRL  1190 2.55
Kaliyah Truong GIRL  1191 1.11
Kora English GIRL  1192 3.08
Octavia Simpson GIRL  1193 3.07
Irene French GIRL  1194 2.53
Kelly Hail GIRL  1195 1.41
Lacey Flynn GIRL  1196 0.52
Laurel Anthony GIRL  1197 2.79
Adley Calvert GIRL  1198 2.0
Anneas Gallegos GIRL  1199 2.99
Liam Spencer BOY  1200 2.83
Noah Frame BOY  1201 3.51
William Clemons BOY  1202 1.4
James Joseph BOY  1203 1.74
Logan Daugherty BOY  1204 3.34
Benjamin Middleton BOY  1205 0.15
Mason Burton BOY  1206 2.9
Elijah Travis BOY  1207 1.03
Oliver Byrd BOY  1208 1.08
Jacob Henderson BOY  1209 3.05
Lucas Hopper BOY  1210 3.56
Michael Franklin BOY  1211 2.52
Alexander Little BOY  1212 3.98
Ethan Fitzgerald BOY  1213 0.19
Daniel Browning BOY  1214 1.7
Matthew Mata BOY  1215 1.98
Aiden Kelley BOY  1216 0.2
Henry Hicks BOY  1217 0.1
Joseph Underwood BOY  1218 1.85
Jackson Simpson BOY  1219 1.56
Samuel Mckeown BOY  1220 0.29
Sebastian Kirkland BOY  1221 2.79
David Benitez BOY  1222 0.23
Carter Dixon BOY  1223 1.72
Wyatt Hills BOY  1224 1.44
Jayden Blair BOY  1225 0.79
John Fuller BOY  1226 1.04
Owen Hussain BOY  1227 2.36
Dylan Hough BOY  1228 2.25
Luke Rees BOY  1229 3.81
Gabriel Leon BOY  1230 1.89
Anthony Whittle BOY  1231 2.69
Isaac Monroe BOY  1232 0.46
Grayson Lucas BOY  1233 1.85
Jack Payne BOY  1234 3.94
Julian Simpson BOY  1235 2.33
Levi Davison BOY  1236 2.0
Christopher Wells BOY  1237 3.84
Joshua Newman BOY  1238 1.41
Andrew Middleton BOY  1239 1.97
Lincoln Kane BOY  1240 3.94
Mateo Calhoun BOY  1241 2.55
Ryan Mercer BOY  1242 0.12
Jaxon Meadows BOY  1243 3.29
Nathan Alvarado BOY  1244 0.04
Aaron Williams BOY  1245 3.16
Isaiah Wiley BOY  1246 0.15
Thomas Roman BOY  1247 3.64
Charles O'Ryan BOY  1248 2.28
Caleb Hartley BOY  1249 2.67
Josiah Joseph BOY  1250 3.33
Christian Daniels BOY  1251 2.84
Hunter Salter BOY  1252 3.65
Eli Stokes BOY  1253 2.06
Jonathan Riggs BOY  1254 1.3
Connor Atkins BOY  1255 3.47
Landon Sherman BOY  1256 3.0
Adrian Harper BOY  1257 3.55
Asher Ibarra BOY  1258 0.33
Cameron Frye BOY  1259 3.92
Leo Dillon BOY  1260 2.53
Theodore Talbot BOY  1261 0.01
Jeremiah Arroyo BOY  1262 0.17
Hudson Hibbert BOY  1263 3.99
Robert Foley BOY  1264 2.16
Easton Hamilton BOY  1265 2.14
Nolan Parks BOY  1266 2.68
Nicholas Ryder BOY  1267 0.92
Ezra Chung BOY  1268 3.56
Colton Mcintyre BOY  1269 0.39
Angel O'Sullivan BOY  1270 1.72
Brayden Matthams BOY  1271 2.38
Jordan Patrick BOY  1272 0.05
Dominic Cottrell BOY  1273 1.15
Austin Clemons BOY  1274 2.2
Ian Mcdermott BOY  1275 1.43
Adam Yang BOY  1276 3.44
Elias Browning BOY  1277 0.15
Jaxson Wicks BOY  1278 2.33
Greyson Lang BOY  1279 3.2
Jose Arnold BOY  1280 0.84
Ezekiel Bradley BOY  1281 3.36
Carson Childs BOY  1282 3.71
Evan Laing BOY  1283 0.06
Maverick Corona BOY  1284 3.26
Bryson Vo BOY  1285 0.85
Jace Castillo BOY  1286 2.2
Cooper Roach BOY  1287 0.61
Xavier Neville BOY  1288 0.25
Parker Hardin BOY  1289 2.89
Roman Frederick BOY  1290 1.73
Jason Thomson BOY  1291 1.52
Santiago Aguirre BOY  1292 1.75
Chase Goddard BOY  1293 2.85
Sawyer Khan BOY  1294 3.23
Gavin Barrett BOY  1295 3.84
Leonardo Salas BOY  1296 2.91
Kayden Mata BOY  1297 3.77
Ayden Milner BOY  1298 0.72
Jameson Robinson BOY  1299 3.21
Kevin Brewer BOY  1300 1.23
Bentley Oneal BOY  1301 0.85
Zachary Peterson BOY  1302 0.76
Everett Castillo BOY  1303 0.71
Axel Wooten BOY  1304 3.58
Tyler Barnard BOY  1305 0.49
Micah Bevan BOY  1306 3.52
Vincent Cox BOY  1307 0.59
Weston Wyatt BOY  1308 1.04
Miles Oakley BOY  1309 0.56
Wesley Kirby BOY  1310 2.19
Nathaniel Mora BOY  1311 3.01
Harrison Madden BOY  1312 3.75
Brandon Kirkpatrick BOY  1313 0.82
Cole Chandler BOY  1314 1.7
Declan Donnelly BOY  1315 3.7
Luis Choi BOY  1316 2.42
Braxton Barrett BOY  1317 0.88
Damian Cornish BOY  1318 2.64
Silas Christensen BOY  1319 2.37
Tristan Daugherty BOY  1320 0.04
Ryder Frame BOY  1321 3.72
Bennett Wilcox BOY  1322 2.34
George Franco BOY  1323 1.9
Emmett Dyer BOY  1324 1.69
Justin Novak BOY  1325 3.1
Kai Hale BOY  1326 0.79
Max Bean BOY  1327 2.5
Diego Crosby BOY  1328 1.64
Luca Bannister BOY  1329 2.51
Ryker Hail BOY  1330 2.95
Carlos Jacobson BOY  1331 3.3
Maxwell Santana BOY  1332 1.59
Kingston Gilliam BOY  1333 1.69
Ivan Stark BOY  1334 3.09
Maddox Atkinson BOY  1335 2.58
Juan Penn BOY  1336 3.3
Ashton Atkinson BOY  1337 0.16
Jayce Lowery BOY  1338 3.21
Rowan Cottrell BOY  1339 0.0
Kaiden Ellis BOY  1340 3.8
Giovanni Firth BOY  1341 0.18
Eric Bauer BOY  1342 1.39
Jesus Cote BOY  1343 3.45
Calvin Townsend BOY  1344 1.25
Abel Mata BOY  1345 0.87
King Cowan BOY  1346 3.1
Camden Puckett BOY  1347 3.45
Amir Clifford BOY  1348 2.33
Blake Iles BOY  1349 0.67
Alex Wade BOY  1350 2.21
Brody Horner BOY  1351 1.47
Malachi Forster BOY  1352 0.41
Emmanuel Zavala BOY  1353 2.85
Jonah Zhang BOY  1354 2.04
Beau Woodcock BOY  1355 3.26
Jude Gilmore BOY  1356 2.87
Antonio Long BOY  1357 0.36
Alan Haynes BOY  1358 2.72
Elliott Sawyer BOY  1359 3.79
Elliot Ingram BOY  1360 2.3
Waylon Lu BOY  1361 2.31
Xander Pham BOY  1362 2.82
Timothy Graham BOY  1363 3.58
Victor Hess BOY  1364 1.89
Bryce Ritter BOY  1365 1.83
Finn Silva BOY  1366 1.7
Brantley Summers BOY  1367 3.73
Edward Weir BOY  1368 3.98
Abraham Easton BOY  1369 3.81
Patrick Haines BOY  1370 0.76
Grant Doyle BOY  1371 0.51
Karter Villalobos BOY  1372 0.3
Hayden Gilmore BOY  1373 0.36
Richard Burris BOY  1374 2.42
Miguel Roach BOY  1375 0.2
Joel Garza BOY  1376 3.55
Gael Dickinson BOY  1377 0.8
Tucker Alford BOY  1378 3.93
Rhett Reilly BOY  1379 0.61
Avery Ford BOY  1380 3.81
Steven Alcock BOY  1381 1.0
Graham Esquivel BOY  1382 1.76
Kaleb Stamp BOY  1383 1.7
Jasper Pickett BOY  1384 0.46
Jesse Burrows BOY  1385 3.51
Matteo Underwood BOY  1386 2.95
Dean Wood BOY  1387 1.9
Zayden White BOY  1388 2.58
Preston Avalos BOY  1389 2.77
August Hoover BOY  1390 0.65
Oscar Salazar BOY  1391 0.83
Jeremy Tait BOY  1392 0.05
Alejandro Guevara BOY  1393 0.1
Marcus North BOY  1394 2.04
Dawson Nairn BOY  1395 3.58
Lorenzo Choi BOY  1396 0.26
Messiah Bartlett BOY  1397 0.54
Zion Wainwright BOY  1398 3.89
Maximus Ingram BOY  1399 2.08
River Ballard BOY  1400 0.8
Zane Yoder BOY  1401 2.18
Mark Villegas BOY  1402 0.01
Brooks Clegg BOY  1403 3.78
Nicolas Acevedo BOY  1404 3.29
Paxton Petty BOY  1405 0.17
Judah Collier BOY  1406 2.67
Emiliano Nicholls BOY  1407 2.53
Kaden Chavez BOY  1408 3.57
Bryan Nieves BOY  1409 2.67
Kyle Davila BOY  1410 2.74
Myles Russell BOY  1411 1.43
Peter Russell BOY  1412 2.17
Charlie Delacruz BOY  1413 3.35
Kyrie Lutz BOY  1414 1.74
Thiago Scott BOY  1415 2.34
Brian Ponce BOY  1416 3.3
Kenneth Case BOY  1417 2.99
Andres Hodgson BOY  1418 1.86
Lukas Aguirre BOY  1419 3.84
Aidan Foley BOY  1420 1.88
Jax Tang BOY  1421 3.65
Caden Villegas BOY  1422 2.5
Milo Brewer BOY  1423 2.82
Paul Mcguire BOY  1424 0.45
Beckett Espinosa BOY  1425 3.64
Brady Leonard BOY  1426 3.28
Colin Colon BOY  1427 1.89
Omar Underwood BOY  1428 3.1
Bradley Lang BOY  1429 0.38
Javier Walter BOY  1430 2.06
Knox Miller BOY  1431 2.69
Jaden Navarro BOY  1432 2.76
Barrett Delarosa BOY  1433 1.19
Israel Donnelly BOY  1434 2.12
Matias Payne BOY  1435 0.35
Jorge Esparza BOY  1436 1.19
Zander Crosby BOY  1437 1.66
Derek Head BOY  1438 1.53
Josue Clifford BOY  1439 0.48
Cayden Eastwood BOY  1440 0.54
Holden Sexton BOY  1441 3.61
Griffin Hobbs BOY  1442 1.78
Arthur Medina BOY  1443 3.54
Leon Head BOY  1444 2.93
Felix Barrett BOY  1445 1.37
Remington Summers BOY  1446 1.52
Jake Lake BOY  1447 3.73
Killian Howe BOY  1448 3.92
Clayton Frost BOY  1449 1.11
Sean Travers BOY  1450 3.79
Adriel Lim BOY  1451 1.48
Riley Barrow BOY  1452 1.71
Archer Campos BOY  1453 3.29
Legend Alford BOY  1454 0.17
Erick Andersen BOY  1455 2.75
Enzo Preston BOY  1456 3.56
Corbin Avalos BOY  1457 2.32
Francisco Herrera BOY  1458 3.93
Dallas Kent BOY  1459 3.0
Emilio Forster BOY  1460 1.26
Gunner Medina BOY  1461 3.15
Simon Mcneil BOY  1462 1.65
Andre Day BOY  1463 3.77
Walter Sanderson BOY  1464 1.09
Damien Castillo BOY  1465 3.01
Chance Reese BOY  1466 3.52
Phoenix O'Connor BOY  1467 2.85
Colt Adkins BOY  1468 2.67
Tanner Padilla BOY  1469 3.97
Stephen Madden BOY  1470 0.51
Kameron Arnold BOY  1471 1.2
Tobias Tanner BOY  1472 0.66
Manuel Garcia BOY  1473 3.22
Amari Bowen BOY  1474 1.25
Emerson Stott BOY  1475 3.27
Louis Samuels BOY  1476 2.62
Cody Walls BOY  1477 1.25
Finley William BOY  1478 3.77
Iker Mccabe BOY  1479 1.73
Martin Mellor BOY  1480 2.14
Rafael Mays BOY  1481 1.88
Nash Blair BOY  1482 0.35
Beckham Amos BOY  1483 3.16
Cash Schroeder BOY  1484 3.84
Karson Jarvis BOY  1485 3.53
Rylan Alfaro BOY  1486 2.05
Reid Thomson BOY  1487 2.2
Theo Brandt BOY  1488 1.18
Ace Wheatley BOY  1489 2.97
Eduardo Jimenez BOY  1490 2.8
Spencer Stokes BOY  1491 1.19
Raymond Shah BOY  1492 3.41
Maximiliano Corrigan BOY  1493 2.85
Anderson Atkinson BOY  1494 1.9
Ronan Simmonds BOY  1495 3.72
Lane Burns BOY  1496 2.66
Cristian Robbins BOY  1497 0.1
Titus Horton BOY  1498 2.94
Travis Little BOY  1499 0.03
Jett Mcmillan BOY  1500 2.13
Ricardo Davison BOY  1501 2.6
Bodhi Shea BOY  1502 0.32
Gideon Hunt BOY  1503 2.12
Jaiden Cooke BOY  1504 2.81
Fernando Plummer BOY  1505 3.77
Mario Dickens BOY  1506 2.49
Conor Povey BOY  1507 0.08
Keegan Bloom BOY  1508 2.6
Ali O'Quinn BOY  1509 3.24
Cesar Peel BOY  1510 3.77
Ellis Davies BOY  1511 3.25
Jayceon Parker BOY  1512 0.49
Walker Clements BOY  1513 0.01
Cohen Driscoll BOY  1514 1.33
Arlo Swift BOY  1515 3.87
Hector Parker BOY  1516 0.96
Dante Arroyo BOY  1517 3.52
Kyler Golden BOY  1518 2.68
Garrett Pham BOY  1519 1.06
Donovan Mata BOY  1520 2.92
Seth Doyle BOY  1521 2.67
Jeffrey Powers BOY  1522 3.83
Tyson Bob BOY  1523 1.45
Jase Dunne BOY  1524 2.26
Desmond Huynh BOY  1525 3.58
Caiden Hogg BOY  1526 1.74
Gage Wyatt BOY  1527 1.09
